$ColumnLabelCount	QTY
$ColumnLabelMassPerStack	STACK
$ColumnLabelValuePerMass	V/M
$ColumnLabelValuePerStack	VAL/STACK
$ColumnLabelDPS	DPS
$ColumnLabelAmmoRounds	ROUNDS
$ColumnLabelRarity	RARITY
$ColumnLabelWeaponAccuracy	ACC
$ColumnLabelWeaponROF	ROF
$ColumnLabelWeaponRange	RANGE
$ColumnLabelWeaponType	TYPE
$ColumnLabelWeaponMods	MODS
$ColumnLabelWeaponManufacturer	MANUFACTURER
$ColumnLabelScarcity	SCARCITY
$ColumnLabelInventory_player	INVENTORY
$ColumnLabelInventory_ship	CARGO
$ColumnLabelInventory_vendor	VENDOR
$ColumnLabelInventory_container	CONTAINER
$ColumnLabelInventory_total	OWNED
$TransferCatItems	Transfer all category items
$TransferCatItemsToContainer	Transfer category items to container
$TransferCatItemsToInventory	Transfer category items to inventory
$TransferCatItemsToShip	Transfer category items to ship
$SellCatItems	Sell all category items
$BuyCatItems	Buy all category items
$Scarcity0	Common
$Scarcity1	Uncommon
$Scarcity2	Rare
$Scarcity3	Exotic
$Scarcity4	Unique
$Scarcity5	Special
$Scarcity6	Everywhere
